22:53
30
22:22:38,,,,,,,,490,490,,,,,,,-4.66,0.0095
22:10:19,,,,,,,,490,490,,,,,,,-4.66,0.0095
22:07:32,,,,,,,,490,490,,,,,,,-4.66,0.0095
21:49:02,,,,,,,,490,490,,,,,,,-4.66,0.0095
21:24:48,,,,,,,,590,590,,,,,,,-5.61,0.0095
21:08:58,,,,,,,,500,500,,,,,,,-4.75,0.0095
21:07:08,,,,,,,,500,500,,,,,,,-4.75,0.0095
20:41:36,,,,,,,,490,490,,,,,,,-4.66,0.0095
19:32:25,,,,,,,,590,590,,,,,,,-5.61,0.0095
19:30:51,,,,,,,,590,590,,,,,,,-5.61,0.0095
19:20:13,,,,,,,,490,490,,,,,,,-4.66,0.0095
18:49:12,,,,,,,,500,500,,,,,,,-4.75,0.0095
18:47:20,,,,,,,,500,500,,,,,,,-4.75,0.0095
17:43:58,,,,,,,,590,590,,,,,,,-5.61,0.0095
16:46:22,,,,,,,,590,590,,,,,,,-5.61,0.0095
16:44:43,,,,,,,,500,500,,,,,,,-4.75,0.0095
16:20:57,,,,,,,,500,500,,,,,,,-4.75,0.0095
16:19:09,,,,,,,,500,500,,,,,,,-4.75,0.0095
15:11:12,,,,,,,,490,490,,,,,,,-4.66,0.0095
15:07:15,,,,,,,,590,590,,,,,,,-5.61,0.0095
13:21:09,,,,,,,,490,490,,,,,,,-4.66,0.0095
12:50:06,,,,,,,,500,500,,,,,,,-4.75,0.0095
12:33:50,,,,,,,,590,590,,,,,,,-5.61,0.0095
12:10:39,,,,,,,,500,500,,,,,,,-4.75,0.0095
12:00:06,,,,,,,,500,500,,,,,,,-4.75,0.0095
11:58:09,,,,,,,,500,500,,,,,,,-4.75,0.0095
10:31:52,,,,,,,,550,550,,,,,,,-5.23,0.0095
09:59:44,,,,,,,,500,500,,,,,,,-4.75,0.0095
09:07:43,,,,,,,,500,500,,,,,,,-4.75,0.0095
08:08:13,,,,,,,,500,500,,,,,,,-4.75,0.0095
